customer_id,age,gender,income_level,batik_preference,purchase_frequency,satisfaction_score,loyalty_score,preferred_channel,location
CUST001,40,Male,High,Traditional,Annually,5,5,Tokopedia,Surabaya
CUST002,38,Female,Low,Contemporary,Annually,2,3,Direct Store,Surabaya
CUST003,29,Male,Medium,Traditional,Monthly,5,2,Tokopedia,Bandung
CUST004,47,Male,Low,Contemporary,Semi-annually,2,4,Tokopedia,Yogyakarta
CUST005,58,Male,High,Contemporary,Monthly,2,3,Instagram,Jakarta
CUST006,60,Male,Medium,Contemporary,Quarterly,3,2,Tokopedia,Yogyakarta
CUST007,56,Female,Low,Traditional,Annually,3,1,Instagram,Surabaya
CUST008,33,Female,Low,Mix,Annually,5,1,Instagram,Jakarta
CUST009,34,Male,Medium,Modern,Annually,2,1,Tokopedia,Surabaya
CUST010,27,Female,Low,Modern,Monthly,3,5,Direct Store,Yogyakarta
CUST011,34,Male,Low,Modern,Annually,1,2,Tokopedia,Pekalongan
CUST012,51,Male,Medium,Modern,Monthly,4,1,Direct Store,Bandung
CUST013,37,Female,Medium,Contemporary,Quarterly,2,1,WhatsApp,Semarang
CUST014,46,Female,Low,Contemporary,Semi-annually,5,4,Tokopedia,Jakarta
CUST015,32,Female,Low,Contemporary,Monthly,1,5,Direct Store,Surabaya
CUST016,45,Female,High,Traditional,Annually,5,2,Tokopedia,Jakarta
CUST017,52,Male,High,Modern,Semi-annually,4,1,Tokopedia,Yogyakarta
CUST018,45,Male,High,Contemporary,Semi-annually,4,3,Direct Store,Solo
CUST019,43,Male,Low,Mix,Annually,2,5,Tokopedia,Semarang
CUST020,60,Male,Medium,Contemporary,Quarterly,4,5,Tokopedia,Semarang
CUST021,53,Female,High,Modern,Annually,2,1,Tokopedia,Yogyakarta
CUST022,65,Female,Low,Modern,Semi-annually,2,2,WhatsApp,Jakarta
CUST023,27,Male,Medium,Traditional,Annually,4,5,WhatsApp,Solo
CUST024,49,Female,Medium,Modern,Quarterly,1,1,Direct Store,Bandung
CUST025,36,Female,Low,Modern,Monthly,4,2,Direct Store,Solo
CUST026,58,Female,Medium,Mix,Annually,2,4,Direct Store,Surabaya
CUST027,40,Female,High,Mix,Quarterly,3,4,Instagram,Solo
CUST028,43,Male,Medium,Contemporary,Semi-annually,5,1,WhatsApp,Bandung
CUST029,39,Female,High,Modern,Quarterly,1,4,Direct Store,Surabaya
CUST030,59,Female,Medium,Traditional,Quarterly,4,4,Instagram,Pekalongan
CUST031,61,Female,Medium,Traditional,Semi-annually,3,4,Direct Store,Yogyakarta
CUST032,59,Male,Medium,Modern,Semi-annually,4,4,Instagram,Semarang
CUST033,46,Female,High,Modern,Annually,2,5,Instagram,Semarang
CUST034,62,Male,Low,Mix,Quarterly,4,2,Instagram,Surabaya
CUST035,49,Female,Low,Mix,Semi-annually,3,4,Tokopedia,Pekalongan
CUST036,51,Female,Low,Mix,Monthly,5,1,Tokopedia,Bandung
CUST037,29,Male,Low,Modern,Quarterly,1,5,WhatsApp,Bandung
CUST038,33,Female,High,Traditional,Quarterly,4,3,Tokopedia,Bandung
CUST039,63,Male,Low,Contemporary,Monthly,5,1,Tokopedia,Yogyakarta
CUST040,49,Female,High,Modern,Monthly,5,2,Instagram,Solo
CUST041,44,Male,High,Traditional,Semi-annually,5,4,Tokopedia,Jakarta
CUST042,57,Female,Low,Mix,Annually,1,4,Tokopedia,Solo
CUST043,54,Male,Medium,Modern,Semi-annually,5,5,Direct Store,Semarang
CUST044,52,Female,Medium,Modern,Monthly,3,4,WhatsApp,Pekalongan
CUST045,54,Female,Medium,Traditional,Annually,3,2,Direct Store,Bandung
CUST046,47,Female,Medium,Contemporary,Semi-annually,5,1,WhatsApp,Jakarta
CUST047,40,Female,Medium,Modern,Annually,4,4,Instagram,Jakarta
CUST048,43,Male,Medium,Modern,Semi-annually,5,3,Direct Store,Yogyakarta
CUST049,58,Female,Medium,Contemporary,Semi-annually,4,3,Tokopedia,Surabaya
CUST050,39,Male,High,Modern,Semi-annually,1,5,WhatsApp,Bandung
CUST051,38,Female,Medium,Contemporary,Monthly,2,3,WhatsApp,Surabaya
CUST052,36,Female,Low,Modern,Semi-annually,1,1,Tokopedia,Solo
CUST053,33,Female,Low,Traditional,Semi-annually,4,4,Direct Store,Surabaya
CUST054,36,Male,Medium,Mix,Monthly,1,4,Direct Store,Jakarta
CUST055,61,Male,Low,Modern,Semi-annually,1,2,Instagram,Yogyakarta
CUST056,51,Male,High,Mix,Annually,4,3,Direct Store,Surabaya
CUST057,61,Male,High,Traditional,Quarterly,2,3,Instagram,Bandung
CUST058,40,Male,High,Traditional,Quarterly,1,4,Direct Store,Solo
CUST059,63,Female,Medium,Traditional,Quarterly,3,3,Direct Store,Jakarta
CUST060,39,Female,High,Modern,Annually,1,5,WhatsApp,Solo
CUST061,34,Female,Low,Traditional,Monthly,2,3,Tokopedia,Semarang
CUST062,32,Female,High,Contemporary,Annually,3,5,Direct Store,Semarang
CUST063,30,Male,Medium,Contemporary,Semi-annually,1,1,WhatsApp,Solo
CUST064,61,Male,High,Contemporary,Monthly,2,4,Direct Store,Surabaya
CUST065,36,Female,High,Mix,Monthly,4,3,Direct Store,Surabaya
CUST066,45,Male,Low,Contemporary,Annually,4,3,Direct Store,Pekalongan
