interaction_id,customer_id,platform,interaction_type,interaction_date,engagement_score,response_time_hours
INT000001,CUST134,Instagram,Save,2023-05-14,2,
INT000002,CUST254,Instagram,Save,2023-05-12,9,
INT000003,CUST249,Tokopedia,Wishlist,2023-05-04,3,
INT000004,CUST064,Tokopedia,Review,2023-05-07,5,
INT000005,CUST093,Instagram,Follow,2023-05-27,5,
INT000006,CUST289,WhatsApp,Feedback,2023-05-07,10,
INT000007,CUST003,WhatsApp,Feedback,2023-05-06,7,
INT000008,CUST040,Instagram,Save,2023-05-22,2,
INT000009,CUST169,Instagram,Share,2023-05-22,2,
INT000010,CUST202,Tokopedia,Purchase,2023-05-30,2,
INT000011,CUST166,Instagram,Like,2023-05-03,8,
INT000012,CUST246,Tokopedia,Chat,2023-05-20,1,
INT000013,CUST169,Instagram,Follow,2023-05-15,6,
INT000014,CUST292,Instagram,Comment,2023-05-28,1,
INT000015,CUST145,Tokopedia,Review,2023-05-24,2,
INT000016,CUST281,WhatsApp,Order,2023-05-03,7,
INT000017,CUST131,Instagram,Comment,2023-05-25,7,
INT000018,CUST046,Instagram,Comment,2023-05-06,7,
INT000019,CUST207,Tokopedia,Rating,2023-05-04,5,
INT000020,CUST252,Tokopedia,Chat,2023-05-29,10,
INT000021,CUST068,Tokopedia,Review,2023-05-27,6,
INT000022,CUST263,Instagram,Save,2023-05-15,7,
INT000023,CUST244,Tokopedia,Purchase,2023-05-20,7,
INT000024,CUST047,Tokopedia,Chat,2023-05-20,3,
INT000025,CUST223,WhatsApp,Order,2023-05-03,1,
INT000026,CUST263,Tokopedia,Wishlist,2023-05-22,4,
INT000027,CUST080,Tokopedia,Purchase,2023-05-21,9,
INT000028,CUST043,Tokopedia,Wishlist,2023-05-14,2,
INT000029,CUST245,Tokopedia,Rating,2023-05-05,5,
INT000030,CUST128,WhatsApp,Order,2023-05-10,10,
INT000031,CUST025,WhatsApp,Message,2023-05-30,1,16.0
INT000032,CUST056,WhatsApp,Order,2023-05-14,2,
INT000033,CUST238,WhatsApp,Feedback,2023-05-27,5,
INT000034,CUST182,Tokopedia,Purchase,2023-05-03,9,
INT000035,CUST009,Instagram,Save,2023-05-06,3,
INT000036,CUST202,Instagram,Like,2023-05-14,5,
INT000037,CUST161,WhatsApp,Order,2023-05-25,8,
INT000038,CUST136,Tokopedia,Rating,2023-05-07,3,
INT000039,CUST041,WhatsApp,Feedback,2023-05-09,2,
INT000040,CUST223,WhatsApp,Message,2023-05-01,7,3.0
INT000041,CUST007,Instagram,Save,2023-05-15,7,
INT000042,CUST250,Tokopedia,Purchase,2023-05-27,10,
INT000043,CUST185,WhatsApp,Order,2023-05-26,5,
INT000044,CUST045,Instagram,Comment,2023-05-01,4,
INT000045,CUST058,Instagram,Comment,2023-05-28,1,
INT000046,CUST108,Tokopedia,Rating,2023-05-21,4,
INT000047,CUST224,WhatsApp,Feedback,2023-05-07,2,
INT000048,CUST155,Tokopedia,Rating,2023-05-16,7,
INT000049,CUST012,Instagram,Comment,2023-05-29,3,
INT000050,CUST228,Tokopedia,Wishlist,2023-05-01,8,
INT000051,CUST300,Instagram,Comment,2023-05-10,10,
INT000052,CUST201,Instagram,Share,2023-05-01,2,
INT000053,CUST222,Tokopedia,Wishlist,2023-05-24,10,
INT000054,CUST284,Tokopedia,Review,2023-05-16,7,
INT000055,CUST249,WhatsApp,Feedback,2023-05-24,10,
INT000056,CUST250,Instagram,Like,2023-05-17,1,
INT000057,CUST217,WhatsApp,Inquiry,2023-05-18,2,8.0
INT000058,CUST214,Tokopedia,Review,2023-05-16,10,
INT000059,CUST178,Tokopedia,Wishlist,2023-05-01,3,
INT000060,CUST148,WhatsApp,Response,2023-05-16,6,
INT000061,CUST225,Instagram,Follow,2023-05-08,10,
INT000062,CUST174,WhatsApp,Order,2023-05-05,5,
INT000063,CUST200,Tokopedia,Chat,2023-05-26,8,
INT000064,CUST083,WhatsApp,Response,2023-05-10,2,
INT000065,CUST248,Instagram,Comment,2023-05-07,3,
